Period Ending:,202130/09,202030/09,201930/09,Unnamed: 4
Total Current Liabilities,5553.89,5565.36,5841.25,-
"Accounts Payable 4055.85 4173.78 4576.06 -  Payable/Accrued - - - -  Accrued Expenses 906.7 884.02 732.88 -  Notes Payable/Short Term Debt 230 230 230 -  Current Port. of LT Debt/Capital Leases 90.9 90.9 90.9 -  Other Current liabilities, Total 270.44 186.66 211.42 -","Accounts Payable 4055.85 4173.78 4576.06 -  Payable/Accrued - - - -  Accrued Expenses 906.7 884.02 732.88 -  Notes Payable/Short Term Debt 230 230 230 -  Current Port. of LT Debt/Capital Leases 90.9 90.9 90.9 -  Other Current liabilities, Total 270.44 186.66 211.42 -","Accounts Payable 4055.85 4173.78 4576.06 -  Payable/Accrued - - - -  Accrued Expenses 906.7 884.02 732.88 -  Notes Payable/Short Term Debt 230 230 230 -  Current Port. of LT Debt/Capital Leases 90.9 90.9 90.9 -  Other Current liabilities, Total 270.44 186.66 211.42 -","Accounts Payable 4055.85 4173.78 4576.06 -  Payable/Accrued - - - -  Accrued Expenses 906.7 884.02 732.88 -  Notes Payable/Short Term Debt 230 230 230 -  Current Port. of LT Debt/Capital Leases 90.9 90.9 90.9 -  Other Current liabilities, Total 270.44 186.66 211.42 -","Accounts Payable 4055.85 4173.78 4576.06 -  Payable/Accrued - - - -  Accrued Expenses 906.7 884.02 732.88 -  Notes Payable/Short Term Debt 230 230 230 -  Current Port. of LT Debt/Capital Leases 90.9 90.9 90.9 -  Other Current liabilities, Total 270.44 186.66 211.42 -"
Accounts Payable,4055.85,4173.78,4576.06,-
Payable/Accrued,-,-,-,-
Accrued Expenses,906.7,884.02,732.88,-
Notes Payable/Short Term Debt,230,230,230,-
Current Port. of LT Debt/Capital Leases,90.9,90.9,90.9,-
"Other Current liabilities, Total",270.44,186.66,211.42,-
Total Liabilities,6697.92,6825.85,7167.73,-
"Total Long Term Debt 71.38 162.28 253.18 -  Long Term Debt 66.5 150.5 234.5 -  Capital Lease Obligations 4.88 11.78 18.68 -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 1072.65 1098.21 1073.3 -","Total Long Term Debt 71.38 162.28 253.18 -  Long Term Debt 66.5 150.5 234.5 -  Capital Lease Obligations 4.88 11.78 18.68 -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 1072.65 1098.21 1073.3 -","Total Long Term Debt 71.38 162.28 253.18 -  Long Term Debt 66.5 150.5 234.5 -  Capital Lease Obligations 4.88 11.78 18.68 -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 1072.65 1098.21 1073.3 -","Total Long Term Debt 71.38 162.28 253.18 -  Long Term Debt 66.5 150.5 234.5 -  Capital Lease Obligations 4.88 11.78 18.68 -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 1072.65 1098.21 1073.3 -","Total Long Term Debt 71.38 162.28 253.18 -  Long Term Debt 66.5 150.5 234.5 -  Capital Lease Obligations 4.88 11.78 18.68 -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 1072.65 1098.21 1073.3 -"
Total Long Term Debt,71.38,162.28,253.18,-
Long Term Debt,66.5,150.5,234.5,-
Capital Lease Obligations,4.88,11.78,18.68,-
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",1072.65,1098.21,1073.3,-
Total Equity,5834.64,5513.37,5289.58,-
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 597.6 597.6 597.6 -  Additional Paid-In Capital 68.24 68.24 68.24 -  Retained Earnings (Accumulated Deficit) 5165.21 4845.18 4620.18 -  Treasury Stock - Common -0.13 -0.13 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 3.72 2.48 3.55 -  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 597.6 597.6 597.6 -  Additional Paid-In Capital 68.24 68.24 68.24 -  Retained Earnings (Accumulated Deficit) 5165.21 4845.18 4620.18 -  Treasury Stock - Common -0.13 -0.13 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 3.72 2.48 3.55 -  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 597.6 597.6 597.6 -  Additional Paid-In Capital 68.24 68.24 68.24 -  Retained Earnings (Accumulated Deficit) 5165.21 4845.18 4620.18 -  Treasury Stock - Common -0.13 -0.13 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 3.72 2.48 3.55 -  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 597.6 597.6 597.6 -  Additional Paid-In Capital 68.24 68.24 68.24 -  Retained Earnings (Accumulated Deficit) 5165.21 4845.18 4620.18 -  Treasury Stock - Common -0.13 -0.13 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 3.72 2.48 3.55 -  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 597.6 597.6 597.6 -  Additional Paid-In Capital 68.24 68.24 68.24 -  Retained Earnings (Accumulated Deficit) 5165.21 4845.18 4620.18 -  Treasury Stock - Common -0.13 -0.13 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 3.72 2.48 3.55 -  Other Equity, Total - - - -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",597.6,597.6,597.6,-
Additional Paid-In Capital,68.24,68.24,68.24,-
Retained Earnings (Accumulated Deficit),5165.21,4845.18,4620.18,-
Treasury Stock - Common,-0.13,-0.13,-,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),3.72,2.48,3.55,-
"Other Equity, Total",-,-,-,-
Total Liabilities & Shareholders' Equity,12532.56,12339.22,12457.31,-
Total Common Shares Outstanding,0.97,1.12,1.12,-
Total Preferred Shares Outstanding,-,-,-,-
