Period Ending:,202231/12,202131/12,202031/12,Unnamed: 4
"Property/Plant/Equipment, Total - Net 2391 1919.93 1337.81 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 76 - - -  Intangibles, Net 9 8.29 11.14 -  Long Term Investments 483 99.37 100.39 -  Note Receivable - Long Term - 163.2 - -  Other Long Term Assets, Total 2 297.28 272.34 -  Other Assets, Total 2415 - - -","Property/Plant/Equipment, Total - Net 2391 1919.93 1337.81 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 76 - - -  Intangibles, Net 9 8.29 11.14 -  Long Term Investments 483 99.37 100.39 -  Note Receivable - Long Term - 163.2 - -  Other Long Term Assets, Total 2 297.28 272.34 -  Other Assets, Total 2415 - - -","Property/Plant/Equipment, Total - Net 2391 1919.93 1337.81 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 76 - - -  Intangibles, Net 9 8.29 11.14 -  Long Term Investments 483 99.37 100.39 -  Note Receivable - Long Term - 163.2 - -  Other Long Term Assets, Total 2 297.28 272.34 -  Other Assets, Total 2415 - - -","Property/Plant/Equipment, Total - Net 2391 1919.93 1337.81 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 76 - - -  Intangibles, Net 9 8.29 11.14 -  Long Term Investments 483 99.37 100.39 -  Note Receivable - Long Term - 163.2 - -  Other Long Term Assets, Total 2 297.28 272.34 -  Other Assets, Total 2415 - - -","Property/Plant/Equipment, Total - Net 2391 1919.93 1337.81 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 76 - - -  Intangibles, Net 9 8.29 11.14 -  Long Term Investments 483 99.37 100.39 -  Note Receivable - Long Term - 163.2 - -  Other Long Term Assets, Total 2 297.28 272.34 -  Other Assets, Total 2415 - - -"
"Property/Plant/Equipment, Total - Net",2391,1919.93,1337.81,-
"Property/Plant/Equipment, Total - Gross",-,-,-,-
"Accumulated Depreciation, Total",-,-,-,-
"Goodwill, Net",76,-,-,-
"Intangibles, Net",9,8.29,11.14,-
Long Term Investments,483,99.37,100.39,-
Note Receivable - Long Term,-,163.2,-,-
"Other Long Term Assets, Total",2,297.28,272.34,-
"Other Assets, Total",2415,-,-,-
Total Current Liabilities,3714,1515.77,1327.55,-
"Accounts Payable 222 203.69 196.83 -  Payable/Accrued - - - -  Accrued Expenses 96 162.7 143.64 -  Notes Payable/Short Term Debt 1774 100 - -  Current Port. of LT Debt/Capital Leases 728 375.07 277.72 -  Other Current liabilities, Total 894 674.32 709.35 -","Accounts Payable 222 203.69 196.83 -  Payable/Accrued - - - -  Accrued Expenses 96 162.7 143.64 -  Notes Payable/Short Term Debt 1774 100 - -  Current Port. of LT Debt/Capital Leases 728 375.07 277.72 -  Other Current liabilities, Total 894 674.32 709.35 -","Accounts Payable 222 203.69 196.83 -  Payable/Accrued - - - -  Accrued Expenses 96 162.7 143.64 -  Notes Payable/Short Term Debt 1774 100 - -  Current Port. of LT Debt/Capital Leases 728 375.07 277.72 -  Other Current liabilities, Total 894 674.32 709.35 -","Accounts Payable 222 203.69 196.83 -  Payable/Accrued - - - -  Accrued Expenses 96 162.7 143.64 -  Notes Payable/Short Term Debt 1774 100 - -  Current Port. of LT Debt/Capital Leases 728 375.07 277.72 -  Other Current liabilities, Total 894 674.32 709.35 -","Accounts Payable 222 203.69 196.83 -  Payable/Accrued - - - -  Accrued Expenses 96 162.7 143.64 -  Notes Payable/Short Term Debt 1774 100 - -  Current Port. of LT Debt/Capital Leases 728 375.07 277.72 -  Other Current liabilities, Total 894 674.32 709.35 -"
Accounts Payable,222,203.69,196.83,-
Payable/Accrued,-,-,-,-
Accrued Expenses,96,162.7,143.64,-
Notes Payable/Short Term Debt,1774,100,-,-
Current Port. of LT Debt/Capital Leases,728,375.07,277.72,-
"Other Current liabilities, Total",894,674.32,709.35,-
Total Liabilities,5877,4176.39,3718.07,-
"Total Long Term Debt 2152 2656.09 2379.98 -  Long Term Debt 2130 2656.09 2379.98 -  Capital Lease Obligations 22 - - -  Deferred Income Tax - 4.53 10.54 -  Minority Interest - - - -  Other Liabilities, Total -1763 - - -","Total Long Term Debt 2152 2656.09 2379.98 -  Long Term Debt 2130 2656.09 2379.98 -  Capital Lease Obligations 22 - - -  Deferred Income Tax - 4.53 10.54 -  Minority Interest - - - -  Other Liabilities, Total -1763 - - -","Total Long Term Debt 2152 2656.09 2379.98 -  Long Term Debt 2130 2656.09 2379.98 -  Capital Lease Obligations 22 - - -  Deferred Income Tax - 4.53 10.54 -  Minority Interest - - - -  Other Liabilities, Total -1763 - - -","Total Long Term Debt 2152 2656.09 2379.98 -  Long Term Debt 2130 2656.09 2379.98 -  Capital Lease Obligations 22 - - -  Deferred Income Tax - 4.53 10.54 -  Minority Interest - - - -  Other Liabilities, Total -1763 - - -","Total Long Term Debt 2152 2656.09 2379.98 -  Long Term Debt 2130 2656.09 2379.98 -  Capital Lease Obligations 22 - - -  Deferred Income Tax - 4.53 10.54 -  Minority Interest - - - -  Other Liabilities, Total -1763 - - -"
Total Long Term Debt,2152,2656.09,2379.98,-
Long Term Debt,2130,2656.09,2379.98,-
Capital Lease Obligations,22,-,-,-
Deferred Income Tax,-,4.53,10.54,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",-1763,-,-,-
Total Equity,1640,1288.85,902.83,-
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 30 30 30 -  Additional Paid-In Capital 399 399.09 399.09 -  Retained Earnings (Accumulated Deficit) 1215 864.65 475.41 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4.89 -1.67 -  Other Equity, Total -4 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 30 30 30 -  Additional Paid-In Capital 399 399.09 399.09 -  Retained Earnings (Accumulated Deficit) 1215 864.65 475.41 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4.89 -1.67 -  Other Equity, Total -4 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 30 30 30 -  Additional Paid-In Capital 399 399.09 399.09 -  Retained Earnings (Accumulated Deficit) 1215 864.65 475.41 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4.89 -1.67 -  Other Equity, Total -4 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 30 30 30 -  Additional Paid-In Capital 399 399.09 399.09 -  Retained Earnings (Accumulated Deficit) 1215 864.65 475.41 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4.89 -1.67 -  Other Equity, Total -4 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 30 30 30 -  Additional Paid-In Capital 399 399.09 399.09 -  Retained Earnings (Accumulated Deficit) 1215 864.65 475.41 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4.89 -1.67 -  Other Equity, Total -4 - - -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",30,30,30,-
Additional Paid-In Capital,399,399.09,399.09,-
Retained Earnings (Accumulated Deficit),1215,864.65,475.41,-
Treasury Stock - Common,-,-,-,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-4.89,-1.67,-
"Other Equity, Total",-4,-,-,-
Total Liabilities & Shareholders' Equity,7517,5465.24,4620.9,-
Total Common Shares Outstanding,2.02,2.02,2.02,-
Total Preferred Shares Outstanding,-,-,-,-
