Period Ending:,202230/06,202130/06,202030/06,Unnamed: 4
"Other Current Assets, Total",496,6.88,4.42,-
Total Assets,26293,24426.84,22797.12,-
"Property/Plant/Equipment, Total - Net 230 238.41 239.63 -  Property/Plant/Equipment, Total - Gross - 336.58 - -  Accumulated Depreciation, Total - -98.18 - -  Goodwill, Net - - - -  Intangibles, Net 4 7.66 11.31 -  Long Term Investments 382 138.47 138.47 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 631.32 678.24 -  Other Assets, Total 19968 - - -","Property/Plant/Equipment, Total - Net 230 238.41 239.63 -  Property/Plant/Equipment, Total - Gross - 336.58 - -  Accumulated Depreciation, Total - -98.18 - -  Goodwill, Net - - - -  Intangibles, Net 4 7.66 11.31 -  Long Term Investments 382 138.47 138.47 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 631.32 678.24 -  Other Assets, Total 19968 - - -","Property/Plant/Equipment, Total - Net 230 238.41 239.63 -  Property/Plant/Equipment, Total - Gross - 336.58 - -  Accumulated Depreciation, Total - -98.18 - -  Goodwill, Net - - - -  Intangibles, Net 4 7.66 11.31 -  Long Term Investments 382 138.47 138.47 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 631.32 678.24 -  Other Assets, Total 19968 - - -","Property/Plant/Equipment, Total - Net 230 238.41 239.63 -  Property/Plant/Equipment, Total - Gross - 336.58 - -  Accumulated Depreciation, Total - -98.18 - -  Goodwill, Net - - - -  Intangibles, Net 4 7.66 11.31 -  Long Term Investments 382 138.47 138.47 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 631.32 678.24 -  Other Assets, Total 19968 - - -","Property/Plant/Equipment, Total - Net 230 238.41 239.63 -  Property/Plant/Equipment, Total - Gross - 336.58 - -  Accumulated Depreciation, Total - -98.18 - -  Goodwill, Net - - - -  Intangibles, Net 4 7.66 11.31 -  Long Term Investments 382 138.47 138.47 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 631.32 678.24 -  Other Assets, Total 19968 - - -"
"Property/Plant/Equipment, Total - Net",230,238.41,239.63,-
"Property/Plant/Equipment, Total - Gross",-,336.58,-,-
"Accumulated Depreciation, Total",-,-98.18,-,-
"Goodwill, Net",-,-,-,-
"Intangibles, Net",4,7.66,11.31,-
Long Term Investments,382,138.47,138.47,-
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",1,631.32,678.24,-
"Other Assets, Total",19968,-,-,-
Total Current Liabilities,7362,8532.17,6072.28,-
"Accounts Payable 22 107.67 53.62 -  Payable/Accrued - - - -  Accrued Expenses 31 272.54 58.52 -  Notes Payable/Short Term Debt 2899 3398.39 2514.78 -  Current Port. of LT Debt/Capital Leases 3305 3790.09 2392.34 -  Other Current liabilities, Total 1105 963.47 1053.02 -","Accounts Payable 22 107.67 53.62 -  Payable/Accrued - - - -  Accrued Expenses 31 272.54 58.52 -  Notes Payable/Short Term Debt 2899 3398.39 2514.78 -  Current Port. of LT Debt/Capital Leases 3305 3790.09 2392.34 -  Other Current liabilities, Total 1105 963.47 1053.02 -","Accounts Payable 22 107.67 53.62 -  Payable/Accrued - - - -  Accrued Expenses 31 272.54 58.52 -  Notes Payable/Short Term Debt 2899 3398.39 2514.78 -  Current Port. of LT Debt/Capital Leases 3305 3790.09 2392.34 -  Other Current liabilities, Total 1105 963.47 1053.02 -","Accounts Payable 22 107.67 53.62 -  Payable/Accrued - - - -  Accrued Expenses 31 272.54 58.52 -  Notes Payable/Short Term Debt 2899 3398.39 2514.78 -  Current Port. of LT Debt/Capital Leases 3305 3790.09 2392.34 -  Other Current liabilities, Total 1105 963.47 1053.02 -","Accounts Payable 22 107.67 53.62 -  Payable/Accrued - - - -  Accrued Expenses 31 272.54 58.52 -  Notes Payable/Short Term Debt 2899 3398.39 2514.78 -  Current Port. of LT Debt/Capital Leases 3305 3790.09 2392.34 -  Other Current liabilities, Total 1105 963.47 1053.02 -"
Accounts Payable,22,107.67,53.62,-
Payable/Accrued,-,-,-,-
Accrued Expenses,31,272.54,58.52,-
Notes Payable/Short Term Debt,2899,3398.39,2514.78,-
Current Port. of LT Debt/Capital Leases,3305,3790.09,2392.34,-
"Other Current liabilities, Total",1105,963.47,1053.02,-
Total Liabilities,16984,16150.64,15519,-
"Total Long Term Debt 9402 7376.53 9194.16 -  Long Term Debt 9402 7376.53 9194.16 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -2679 241.94 252.56 -","Total Long Term Debt 9402 7376.53 9194.16 -  Long Term Debt 9402 7376.53 9194.16 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -2679 241.94 252.56 -","Total Long Term Debt 9402 7376.53 9194.16 -  Long Term Debt 9402 7376.53 9194.16 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -2679 241.94 252.56 -","Total Long Term Debt 9402 7376.53 9194.16 -  Long Term Debt 9402 7376.53 9194.16 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -2679 241.94 252.56 -","Total Long Term Debt 9402 7376.53 9194.16 -  Long Term Debt 9402 7376.53 9194.16 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -2679 241.94 252.56 -"
Total Long Term Debt,9402,7376.53,9194.16,-
Long Term Debt,9402,7376.53,9194.16,-
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",-2679,241.94,252.56,-
Total Equity,9309,8276.2,7278.12,-
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 895 485.88 485.88 -  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 8881 8258.47 7260.4 -  Treasury Stock - Common -468 -468.15 -468.15 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - -0 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 895 485.88 485.88 -  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 8881 8258.47 7260.4 -  Treasury Stock - Common -468 -468.15 -468.15 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - -0 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 895 485.88 485.88 -  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 8881 8258.47 7260.4 -  Treasury Stock - Common -468 -468.15 -468.15 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - -0 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 895 485.88 485.88 -  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 8881 8258.47 7260.4 -  Treasury Stock - Common -468 -468.15 -468.15 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - -0 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 895 485.88 485.88 -  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 8881 8258.47 7260.4 -  Treasury Stock - Common -468 -468.15 -468.15 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - -0 -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",895,485.88,485.88,-
Additional Paid-In Capital,-,-,-,-
Retained Earnings (Accumulated Deficit),8881,8258.47,7260.4,-
Treasury Stock - Common,-468,-468.15,-468.15,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-,-
"Other Equity, Total",1,-,-0,-
Total Liabilities & Shareholders' Equity,26293,24426.84,22797.12,-
Total Common Shares Outstanding,3.21,3.21,3.21,-
Total Preferred Shares Outstanding,-,-,-,-
