Period Ending:,202131/05,202031/05,201931/05,Unnamed: 4
"Property/Plant/Equipment, Total - Net 834.12 1062.89 1680.93 -  Property/Plant/Equipment, Total - Gross 2773.04 2912.74 3560.03 -  Accumulated Depreciation, Total -1938.92 -1849.85 -1879.1 -  Goodwill, Net - - - -  Intangibles, Net 12.71 16.75 25.69 -  Long Term Investments 48.86 46.77 49.44 -  Note Receivable - Long Term - 0.55 1.65 -  Other Long Term Assets, Total 222.13 189.16 235.81 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 834.12 1062.89 1680.93 -  Property/Plant/Equipment, Total - Gross 2773.04 2912.74 3560.03 -  Accumulated Depreciation, Total -1938.92 -1849.85 -1879.1 -  Goodwill, Net - - - -  Intangibles, Net 12.71 16.75 25.69 -  Long Term Investments 48.86 46.77 49.44 -  Note Receivable - Long Term - 0.55 1.65 -  Other Long Term Assets, Total 222.13 189.16 235.81 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 834.12 1062.89 1680.93 -  Property/Plant/Equipment, Total - Gross 2773.04 2912.74 3560.03 -  Accumulated Depreciation, Total -1938.92 -1849.85 -1879.1 -  Goodwill, Net - - - -  Intangibles, Net 12.71 16.75 25.69 -  Long Term Investments 48.86 46.77 49.44 -  Note Receivable - Long Term - 0.55 1.65 -  Other Long Term Assets, Total 222.13 189.16 235.81 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 834.12 1062.89 1680.93 -  Property/Plant/Equipment, Total - Gross 2773.04 2912.74 3560.03 -  Accumulated Depreciation, Total -1938.92 -1849.85 -1879.1 -  Goodwill, Net - - - -  Intangibles, Net 12.71 16.75 25.69 -  Long Term Investments 48.86 46.77 49.44 -  Note Receivable - Long Term - 0.55 1.65 -  Other Long Term Assets, Total 222.13 189.16 235.81 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 834.12 1062.89 1680.93 -  Property/Plant/Equipment, Total - Gross 2773.04 2912.74 3560.03 -  Accumulated Depreciation, Total -1938.92 -1849.85 -1879.1 -  Goodwill, Net - - - -  Intangibles, Net 12.71 16.75 25.69 -  Long Term Investments 48.86 46.77 49.44 -  Note Receivable - Long Term - 0.55 1.65 -  Other Long Term Assets, Total 222.13 189.16 235.81 -  Other Assets, Total - - - -"
"Property/Plant/Equipment, Total - Net",834.12,1062.89,1680.93,-
"Property/Plant/Equipment, Total - Gross",2773.04,2912.74,3560.03,-
"Accumulated Depreciation, Total",-1938.92,-1849.85,-1879.1,-
"Goodwill, Net",-,-,-,-
"Intangibles, Net",12.71,16.75,25.69,-
Long Term Investments,48.86,46.77,49.44,-
Note Receivable - Long Term,-,0.55,1.65,-
"Other Long Term Assets, Total",222.13,189.16,235.81,-
"Other Assets, Total",-,-,-,-
Total Current Liabilities,2114.92,3179.81,2329.19,-
"Accounts Payable 566.93 558.21 590.22 -  Payable/Accrued - - - -  Accrued Expenses 322.55 331.13 169.6 -  Notes Payable/Short Term Debt 850 1650 488 -  Current Port. of LT Debt/Capital Leases 203.93 407.21 817.88 -  Other Current liabilities, Total 171.51 233.26 263.49 -","Accounts Payable 566.93 558.21 590.22 -  Payable/Accrued - - - -  Accrued Expenses 322.55 331.13 169.6 -  Notes Payable/Short Term Debt 850 1650 488 -  Current Port. of LT Debt/Capital Leases 203.93 407.21 817.88 -  Other Current liabilities, Total 171.51 233.26 263.49 -","Accounts Payable 566.93 558.21 590.22 -  Payable/Accrued - - - -  Accrued Expenses 322.55 331.13 169.6 -  Notes Payable/Short Term Debt 850 1650 488 -  Current Port. of LT Debt/Capital Leases 203.93 407.21 817.88 -  Other Current liabilities, Total 171.51 233.26 263.49 -","Accounts Payable 566.93 558.21 590.22 -  Payable/Accrued - - - -  Accrued Expenses 322.55 331.13 169.6 -  Notes Payable/Short Term Debt 850 1650 488 -  Current Port. of LT Debt/Capital Leases 203.93 407.21 817.88 -  Other Current liabilities, Total 171.51 233.26 263.49 -","Accounts Payable 566.93 558.21 590.22 -  Payable/Accrued - - - -  Accrued Expenses 322.55 331.13 169.6 -  Notes Payable/Short Term Debt 850 1650 488 -  Current Port. of LT Debt/Capital Leases 203.93 407.21 817.88 -  Other Current liabilities, Total 171.51 233.26 263.49 -"
Accounts Payable,566.93,558.21,590.22,-
Payable/Accrued,-,-,-,-
Accrued Expenses,322.55,331.13,169.6,-
Notes Payable/Short Term Debt,850,1650,488,-
Current Port. of LT Debt/Capital Leases,203.93,407.21,817.88,-
"Other Current liabilities, Total",171.51,233.26,263.49,-
Total Liabilities,3278.32,4533.71,4436.95,-
"Total Long Term Debt 987.93 1191.87 1939.65 -  Long Term Debt 985.56 1188.04 1938.25 -  Capital Lease Obligations 2.37 3.83 1.41 -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 175.47 162.04 168.11 -","Total Long Term Debt 987.93 1191.87 1939.65 -  Long Term Debt 985.56 1188.04 1938.25 -  Capital Lease Obligations 2.37 3.83 1.41 -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 175.47 162.04 168.11 -","Total Long Term Debt 987.93 1191.87 1939.65 -  Long Term Debt 985.56 1188.04 1938.25 -  Capital Lease Obligations 2.37 3.83 1.41 -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 175.47 162.04 168.11 -","Total Long Term Debt 987.93 1191.87 1939.65 -  Long Term Debt 985.56 1188.04 1938.25 -  Capital Lease Obligations 2.37 3.83 1.41 -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 175.47 162.04 168.11 -","Total Long Term Debt 987.93 1191.87 1939.65 -  Long Term Debt 985.56 1188.04 1938.25 -  Capital Lease Obligations 2.37 3.83 1.41 -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 175.47 162.04 168.11 -"
Total Long Term Debt,987.93,1191.87,1939.65,-
Long Term Debt,985.56,1188.04,1938.25,-
Capital Lease Obligations,2.37,3.83,1.41,-
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",175.47,162.04,168.11,-
Total Equity,1334,252.25,182.39,-
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 143.17 60 60 -  Additional Paid-In Capital 683.8 - - -  Retained Earnings (Accumulated Deficit) 550.75 371.52 514.55 -  Treasury Stock - Common -58.13 -189.27 -412.34 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 14.41 10 13.29 -  Other Equity, Total - 0.01 6.89 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 143.17 60 60 -  Additional Paid-In Capital 683.8 - - -  Retained Earnings (Accumulated Deficit) 550.75 371.52 514.55 -  Treasury Stock - Common -58.13 -189.27 -412.34 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 14.41 10 13.29 -  Other Equity, Total - 0.01 6.89 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 143.17 60 60 -  Additional Paid-In Capital 683.8 - - -  Retained Earnings (Accumulated Deficit) 550.75 371.52 514.55 -  Treasury Stock - Common -58.13 -189.27 -412.34 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 14.41 10 13.29 -  Other Equity, Total - 0.01 6.89 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 143.17 60 60 -  Additional Paid-In Capital 683.8 - - -  Retained Earnings (Accumulated Deficit) 550.75 371.52 514.55 -  Treasury Stock - Common -58.13 -189.27 -412.34 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 14.41 10 13.29 -  Other Equity, Total - 0.01 6.89 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 143.17 60 60 -  Additional Paid-In Capital 683.8 - - -  Retained Earnings (Accumulated Deficit) 550.75 371.52 514.55 -  Treasury Stock - Common -58.13 -189.27 -412.34 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 14.41 10 13.29 -  Other Equity, Total - 0.01 6.89 -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",143.17,60,60,-
Additional Paid-In Capital,683.8,-,-,-
Retained Earnings (Accumulated Deficit),550.75,371.52,514.55,-
Treasury Stock - Common,-58.13,-189.27,-412.34,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),14.41,10,13.29,-
"Other Equity, Total",-,0.01,6.89,-
Total Liabilities & Shareholders' Equity,4612.32,4785.97,4619.34,-
Total Common Shares Outstanding,3.67,2.48,2,-
Total Preferred Shares Outstanding,-,-,-,-
