Period Ending:,202331/03,202231/03,202131/03,Unnamed: 4
"Property/Plant/Equipment, Total - Net 8960 1189 19776 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 309 361 414 -  Intangibles, Net 28 3 1 -  Long Term Investments 398 206 121 -  Note Receivable - Long Term - - 253 -  Other Long Term Assets, Total 1 - 2 -  Other Assets, Total -19370 17648 13503 -","Property/Plant/Equipment, Total - Net 8960 1189 19776 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 309 361 414 -  Intangibles, Net 28 3 1 -  Long Term Investments 398 206 121 -  Note Receivable - Long Term - - 253 -  Other Long Term Assets, Total 1 - 2 -  Other Assets, Total -19370 17648 13503 -","Property/Plant/Equipment, Total - Net 8960 1189 19776 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 309 361 414 -  Intangibles, Net 28 3 1 -  Long Term Investments 398 206 121 -  Note Receivable - Long Term - - 253 -  Other Long Term Assets, Total 1 - 2 -  Other Assets, Total -19370 17648 13503 -","Property/Plant/Equipment, Total - Net 8960 1189 19776 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 309 361 414 -  Intangibles, Net 28 3 1 -  Long Term Investments 398 206 121 -  Note Receivable - Long Term - - 253 -  Other Long Term Assets, Total 1 - 2 -  Other Assets, Total -19370 17648 13503 -","Property/Plant/Equipment, Total - Net 8960 1189 19776 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 309 361 414 -  Intangibles, Net 28 3 1 -  Long Term Investments 398 206 121 -  Note Receivable - Long Term - - 253 -  Other Long Term Assets, Total 1 - 2 -  Other Assets, Total -19370 17648 13503 -"
"Property/Plant/Equipment, Total - Net",8960,1189,19776,-
"Property/Plant/Equipment, Total - Gross",-,-,-,-
"Accumulated Depreciation, Total",-,-,-,-
"Goodwill, Net",309,361,414,-
"Intangibles, Net",28,3,1,-
Long Term Investments,398,206,121,-
Note Receivable - Long Term,-,-,253,-
"Other Long Term Assets, Total",1,-,2,-
"Other Assets, Total",-19370,17648,13503,-
Total Current Liabilities,16643,16478,23179,-
"Accounts Payable - - - -  Payable/Accrued - - - -  Accrued Expenses - 37 15 -  Notes Payable/Short Term Debt 8800 15119 18809 -  Current Port. of LT Debt/Capital Leases 502 - 3282 -  Other Current liabilities, Total 7341 1322 1073 -","Accounts Payable - - - -  Payable/Accrued - - - -  Accrued Expenses - 37 15 -  Notes Payable/Short Term Debt 8800 15119 18809 -  Current Port. of LT Debt/Capital Leases 502 - 3282 -  Other Current liabilities, Total 7341 1322 1073 -","Accounts Payable - - - -  Payable/Accrued - - - -  Accrued Expenses - 37 15 -  Notes Payable/Short Term Debt 8800 15119 18809 -  Current Port. of LT Debt/Capital Leases 502 - 3282 -  Other Current liabilities, Total 7341 1322 1073 -","Accounts Payable - - - -  Payable/Accrued - - - -  Accrued Expenses - 37 15 -  Notes Payable/Short Term Debt 8800 15119 18809 -  Current Port. of LT Debt/Capital Leases 502 - 3282 -  Other Current liabilities, Total 7341 1322 1073 -","Accounts Payable - - - -  Payable/Accrued - - - -  Accrued Expenses - 37 15 -  Notes Payable/Short Term Debt 8800 15119 18809 -  Current Port. of LT Debt/Capital Leases 502 - 3282 -  Other Current liabilities, Total 7341 1322 1073 -"
Accounts Payable,-,-,-,-
Payable/Accrued,-,-,-,-
Accrued Expenses,-,37,15,-
Notes Payable/Short Term Debt,8800,15119,18809,-
Current Port. of LT Debt/Capital Leases,502,-,3282,-
"Other Current liabilities, Total",7341,1322,1073,-
Total Liabilities,30577,16636,38469,-
"Total Long Term Debt 13904 - 15242 -  Long Term Debt 13904 - 15242 -  Capital Lease Obligations - - - -  Deferred Income Tax - 130 32 -  Minority Interest - - - -  Other Liabilities, Total -8770 -15091 -18793 -","Total Long Term Debt 13904 - 15242 -  Long Term Debt 13904 - 15242 -  Capital Lease Obligations - - - -  Deferred Income Tax - 130 32 -  Minority Interest - - - -  Other Liabilities, Total -8770 -15091 -18793 -","Total Long Term Debt 13904 - 15242 -  Long Term Debt 13904 - 15242 -  Capital Lease Obligations - - - -  Deferred Income Tax - 130 32 -  Minority Interest - - - -  Other Liabilities, Total -8770 -15091 -18793 -","Total Long Term Debt 13904 - 15242 -  Long Term Debt 13904 - 15242 -  Capital Lease Obligations - - - -  Deferred Income Tax - 130 32 -  Minority Interest - - - -  Other Liabilities, Total -8770 -15091 -18793 -","Total Long Term Debt 13904 - 15242 -  Long Term Debt 13904 - 15242 -  Capital Lease Obligations - - - -  Deferred Income Tax - 130 32 -  Minority Interest - - - -  Other Liabilities, Total -8770 -15091 -18793 -"
Total Long Term Debt,13904,-,15242,-
Long Term Debt,13904,-,15242,-
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,-,130,32,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",-8770,-15091,-18793,-
Total Equity,17777,13159,2384,-
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1032 100 100 -  Additional Paid-In Capital 3912 2980 10695 -  Retained Earnings (Accumulated Deficit) 12809 10363 -7714 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 24 -284 -697 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1032 100 100 -  Additional Paid-In Capital 3912 2980 10695 -  Retained Earnings (Accumulated Deficit) 12809 10363 -7714 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 24 -284 -697 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1032 100 100 -  Additional Paid-In Capital 3912 2980 10695 -  Retained Earnings (Accumulated Deficit) 12809 10363 -7714 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 24 -284 -697 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1032 100 100 -  Additional Paid-In Capital 3912 2980 10695 -  Retained Earnings (Accumulated Deficit) 12809 10363 -7714 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 24 -284 -697 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1032 100 100 -  Additional Paid-In Capital 3912 2980 10695 -  Retained Earnings (Accumulated Deficit) 12809 10363 -7714 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 24 -284 -697 -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",1032,100,100,-
Additional Paid-In Capital,3912,2980,10695,-
Retained Earnings (Accumulated Deficit),12809,10363,-7714,-
Treasury Stock - Common,-,-,-,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-,-
"Other Equity, Total",24,-284,-697,-
Total Liabilities & Shareholders' Equity,48354,29795,40853,-
Total Common Shares Outstanding,7.77,7.1,3.95,-
Total Preferred Shares Outstanding,-,-,-,-
