Period Ending:,202231/08,202131/08,202031/08,Unnamed: 4
"Property/Plant/Equipment, Total - Net 212 222 228 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 18 19 9 -  Long Term Investments 44 31 44 -  Note Receivable - Long Term 145 136 181 -  Other Long Term Assets, Total 2 2 1 -  Other Assets, Total 10430 10595 7372 -","Property/Plant/Equipment, Total - Net 212 222 228 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 18 19 9 -  Long Term Investments 44 31 44 -  Note Receivable - Long Term 145 136 181 -  Other Long Term Assets, Total 2 2 1 -  Other Assets, Total 10430 10595 7372 -","Property/Plant/Equipment, Total - Net 212 222 228 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 18 19 9 -  Long Term Investments 44 31 44 -  Note Receivable - Long Term 145 136 181 -  Other Long Term Assets, Total 2 2 1 -  Other Assets, Total 10430 10595 7372 -","Property/Plant/Equipment, Total - Net 212 222 228 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 18 19 9 -  Long Term Investments 44 31 44 -  Note Receivable - Long Term 145 136 181 -  Other Long Term Assets, Total 2 2 1 -  Other Assets, Total 10430 10595 7372 -","Property/Plant/Equipment, Total - Net 212 222 228 -  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 18 19 9 -  Long Term Investments 44 31 44 -  Note Receivable - Long Term 145 136 181 -  Other Long Term Assets, Total 2 2 1 -  Other Assets, Total 10430 10595 7372 -"
"Property/Plant/Equipment, Total - Net",212,222,228,-
"Property/Plant/Equipment, Total - Gross",-,-,-,-
"Accumulated Depreciation, Total",-,-,-,-
"Goodwill, Net",-,-,-,-
"Intangibles, Net",18,19,9,-
Long Term Investments,44,31,44,-
Note Receivable - Long Term,145,136,181,-
"Other Long Term Assets, Total",2,2,1,-
"Other Assets, Total",10430,10595,7372,-
Total Current Liabilities,7464,7549,5282,-
"Accounts Payable 636 649 647 -  Payable/Accrued - - - -  Accrued Expenses 116 107 88 -  Notes Payable/Short Term Debt 5925 6132 3997 -  Current Port. of LT Debt/Capital Leases 518 280 340 -  Other Current liabilities, Total 269 381 210 -","Accounts Payable 636 649 647 -  Payable/Accrued - - - -  Accrued Expenses 116 107 88 -  Notes Payable/Short Term Debt 5925 6132 3997 -  Current Port. of LT Debt/Capital Leases 518 280 340 -  Other Current liabilities, Total 269 381 210 -","Accounts Payable 636 649 647 -  Payable/Accrued - - - -  Accrued Expenses 116 107 88 -  Notes Payable/Short Term Debt 5925 6132 3997 -  Current Port. of LT Debt/Capital Leases 518 280 340 -  Other Current liabilities, Total 269 381 210 -","Accounts Payable 636 649 647 -  Payable/Accrued - - - -  Accrued Expenses 116 107 88 -  Notes Payable/Short Term Debt 5925 6132 3997 -  Current Port. of LT Debt/Capital Leases 518 280 340 -  Other Current liabilities, Total 269 381 210 -","Accounts Payable 636 649 647 -  Payable/Accrued - - - -  Accrued Expenses 116 107 88 -  Notes Payable/Short Term Debt 5925 6132 3997 -  Current Port. of LT Debt/Capital Leases 518 280 340 -  Other Current liabilities, Total 269 381 210 -"
Accounts Payable,636,649,647,-
Payable/Accrued,-,-,-,-
Accrued Expenses,116,107,88,-
Notes Payable/Short Term Debt,5925,6132,3997,-
Current Port. of LT Debt/Capital Leases,518,280,340,-
"Other Current liabilities, Total",269,381,210,-
Total Liabilities,9099,8895,6449,-
"Total Long Term Debt 1623 1333 1156 -  Long Term Debt 1623 1333 1156 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -5913 -6119 -3986 -","Total Long Term Debt 1623 1333 1156 -  Long Term Debt 1623 1333 1156 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -5913 -6119 -3986 -","Total Long Term Debt 1623 1333 1156 -  Long Term Debt 1623 1333 1156 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -5913 -6119 -3986 -","Total Long Term Debt 1623 1333 1156 -  Long Term Debt 1623 1333 1156 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -5913 -6119 -3986 -","Total Long Term Debt 1623 1333 1156 -  Long Term Debt 1623 1333 1156 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -5913 -6119 -3986 -"
Total Long Term Debt,1623,1333,1156,-
Long Term Debt,1623,1333,1156,-
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",-5913,-6119,-3986,-
Total Equity,4179,3123,2704,-
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 389 100 100 -  Additional Paid-In Capital 289 - - -  Retained Earnings (Accumulated Deficit) 3499 3023 2604 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 2 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 389 100 100 -  Additional Paid-In Capital 289 - - -  Retained Earnings (Accumulated Deficit) 3499 3023 2604 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 2 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 389 100 100 -  Additional Paid-In Capital 289 - - -  Retained Earnings (Accumulated Deficit) 3499 3023 2604 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 2 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 389 100 100 -  Additional Paid-In Capital 289 - - -  Retained Earnings (Accumulated Deficit) 3499 3023 2604 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 2 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 389 100 100 -  Additional Paid-In Capital 289 - - -  Retained Earnings (Accumulated Deficit) 3499 3023 2604 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 2 - - -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",389,100,100,-
Additional Paid-In Capital,289,-,-,-
Retained Earnings (Accumulated Deficit),3499,3023,2604,-
Treasury Stock - Common,-,-,-,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-,-
"Other Equity, Total",2,-,-,-
Total Liabilities & Shareholders' Equity,13278,12018,9153,-
Total Common Shares Outstanding,5.59,4.59,4.59,-
Total Preferred Shares Outstanding,-,-,-,-
