Period Ending:,202230/04,202130/04,202030/04,Unnamed: 4
"Property/Plant/Equipment, Total - Net 227.51 248.85 133.93 -  Property/Plant/Equipment, Total - Gross 355.35 303.38 162.48 -  Accumulated Depreciation, Total -127.84 -54.53 -28.56 -  Goodwill, Net - - - -  Intangibles, Net 8.41 9.31 7.29 -  Long Term Investments 37.6 64.6 - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 582.03 686.18 115.59 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 227.51 248.85 133.93 -  Property/Plant/Equipment, Total - Gross 355.35 303.38 162.48 -  Accumulated Depreciation, Total -127.84 -54.53 -28.56 -  Goodwill, Net - - - -  Intangibles, Net 8.41 9.31 7.29 -  Long Term Investments 37.6 64.6 - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 582.03 686.18 115.59 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 227.51 248.85 133.93 -  Property/Plant/Equipment, Total - Gross 355.35 303.38 162.48 -  Accumulated Depreciation, Total -127.84 -54.53 -28.56 -  Goodwill, Net - - - -  Intangibles, Net 8.41 9.31 7.29 -  Long Term Investments 37.6 64.6 - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 582.03 686.18 115.59 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 227.51 248.85 133.93 -  Property/Plant/Equipment, Total - Gross 355.35 303.38 162.48 -  Accumulated Depreciation, Total -127.84 -54.53 -28.56 -  Goodwill, Net - - - -  Intangibles, Net 8.41 9.31 7.29 -  Long Term Investments 37.6 64.6 - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 582.03 686.18 115.59 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 227.51 248.85 133.93 -  Property/Plant/Equipment, Total - Gross 355.35 303.38 162.48 -  Accumulated Depreciation, Total -127.84 -54.53 -28.56 -  Goodwill, Net - - - -  Intangibles, Net 8.41 9.31 7.29 -  Long Term Investments 37.6 64.6 - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 582.03 686.18 115.59 -  Other Assets, Total - - - -"
"Property/Plant/Equipment, Total - Net",227.51,248.85,133.93,-
"Property/Plant/Equipment, Total - Gross",355.35,303.38,162.48,-
"Accumulated Depreciation, Total",-127.84,-54.53,-28.56,-
"Goodwill, Net",-,-,-,-
"Intangibles, Net",8.41,9.31,7.29,-
Long Term Investments,37.6,64.6,-,-
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",582.03,686.18,115.59,-
"Other Assets, Total",-,-,-,-
Total Current Liabilities,2724.49,2133.98,669.96,-
"Accounts Payable 739.65 622.19 400.91 -  Payable/Accrued - - - -  Accrued Expenses 367.81 280.03 22.78 -  Notes Payable/Short Term Debt - 200 33.33 -  Current Port. of LT Debt/Capital Leases 246.74 242.51 118.8 -  Other Current liabilities, Total 1370.29 789.25 94.14 -","Accounts Payable 739.65 622.19 400.91 -  Payable/Accrued - - - -  Accrued Expenses 367.81 280.03 22.78 -  Notes Payable/Short Term Debt - 200 33.33 -  Current Port. of LT Debt/Capital Leases 246.74 242.51 118.8 -  Other Current liabilities, Total 1370.29 789.25 94.14 -","Accounts Payable 739.65 622.19 400.91 -  Payable/Accrued - - - -  Accrued Expenses 367.81 280.03 22.78 -  Notes Payable/Short Term Debt - 200 33.33 -  Current Port. of LT Debt/Capital Leases 246.74 242.51 118.8 -  Other Current liabilities, Total 1370.29 789.25 94.14 -","Accounts Payable 739.65 622.19 400.91 -  Payable/Accrued - - - -  Accrued Expenses 367.81 280.03 22.78 -  Notes Payable/Short Term Debt - 200 33.33 -  Current Port. of LT Debt/Capital Leases 246.74 242.51 118.8 -  Other Current liabilities, Total 1370.29 789.25 94.14 -","Accounts Payable 739.65 622.19 400.91 -  Payable/Accrued - - - -  Accrued Expenses 367.81 280.03 22.78 -  Notes Payable/Short Term Debt - 200 33.33 -  Current Port. of LT Debt/Capital Leases 246.74 242.51 118.8 -  Other Current liabilities, Total 1370.29 789.25 94.14 -"
Accounts Payable,739.65,622.19,400.91,-
Payable/Accrued,-,-,-,-
Accrued Expenses,367.81,280.03,22.78,-
Notes Payable/Short Term Debt,-,200,33.33,-
Current Port. of LT Debt/Capital Leases,246.74,242.51,118.8,-
"Other Current liabilities, Total",1370.29,789.25,94.14,-
Total Liabilities,3034.58,2704.08,886.88,-
"Total Long Term Debt 310.09 570.1 216.92 -  Long Term Debt 310.09 570.1 216.92 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total - - - -","Total Long Term Debt 310.09 570.1 216.92 -  Long Term Debt 310.09 570.1 216.92 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total - - - -","Total Long Term Debt 310.09 570.1 216.92 -  Long Term Debt 310.09 570.1 216.92 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total - - - -","Total Long Term Debt 310.09 570.1 216.92 -  Long Term Debt 310.09 570.1 216.92 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total - - - -","Total Long Term Debt 310.09 570.1 216.92 -  Long Term Debt 310.09 570.1 216.92 -  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total - - - -"
Total Long Term Debt,310.09,570.1,216.92,-
Long Term Debt,310.09,570.1,216.92,-
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",-,-,-,-
Total Equity,6318.74,3525.68,2703.8,-
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 104.12 104.12 100 -  Additional Paid-In Capital 2476.03 2546.03 2541.91 -  Retained Earnings (Accumulated Deficit) 3738.59 1001.16 61.89 -  Treasury Stock - Common - -125.64 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 104.12 104.12 100 -  Additional Paid-In Capital 2476.03 2546.03 2541.91 -  Retained Earnings (Accumulated Deficit) 3738.59 1001.16 61.89 -  Treasury Stock - Common - -125.64 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 104.12 104.12 100 -  Additional Paid-In Capital 2476.03 2546.03 2541.91 -  Retained Earnings (Accumulated Deficit) 3738.59 1001.16 61.89 -  Treasury Stock - Common - -125.64 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 104.12 104.12 100 -  Additional Paid-In Capital 2476.03 2546.03 2541.91 -  Retained Earnings (Accumulated Deficit) 3738.59 1001.16 61.89 -  Treasury Stock - Common - -125.64 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 104.12 104.12 100 -  Additional Paid-In Capital 2476.03 2546.03 2541.91 -  Retained Earnings (Accumulated Deficit) 3738.59 1001.16 61.89 -  Treasury Stock - Common - -125.64 - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - - - -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",104.12,104.12,100,-
Additional Paid-In Capital,2476.03,2546.03,2541.91,-
Retained Earnings (Accumulated Deficit),3738.59,1001.16,61.89,-
Treasury Stock - Common,-,-125.64,-,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-,-
"Other Equity, Total",-,-,-,-
Total Liabilities & Shareholders' Equity,9353.33,6229.76,3590.68,-
Total Common Shares Outstanding,29.94,29.99,29.99,-
Total Preferred Shares Outstanding,-,-,-,-
