Period Ending:,202231/01,202131/01,202031/01,Unnamed: 4
"Property/Plant/Equipment, Total - Net 201.26 215.73 242.84 -  Property/Plant/Equipment, Total - Gross 729.01 740.18 745.93 -  Accumulated Depreciation, Total -527.75 -524.45 -503.09 -  Goodwill, Net - - - -  Intangibles, Net 14.21 12.61 5.06 -  Long Term Investments - - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 216.14 86.51 79.82 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 201.26 215.73 242.84 -  Property/Plant/Equipment, Total - Gross 729.01 740.18 745.93 -  Accumulated Depreciation, Total -527.75 -524.45 -503.09 -  Goodwill, Net - - - -  Intangibles, Net 14.21 12.61 5.06 -  Long Term Investments - - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 216.14 86.51 79.82 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 201.26 215.73 242.84 -  Property/Plant/Equipment, Total - Gross 729.01 740.18 745.93 -  Accumulated Depreciation, Total -527.75 -524.45 -503.09 -  Goodwill, Net - - - -  Intangibles, Net 14.21 12.61 5.06 -  Long Term Investments - - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 216.14 86.51 79.82 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 201.26 215.73 242.84 -  Property/Plant/Equipment, Total - Gross 729.01 740.18 745.93 -  Accumulated Depreciation, Total -527.75 -524.45 -503.09 -  Goodwill, Net - - - -  Intangibles, Net 14.21 12.61 5.06 -  Long Term Investments - - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 216.14 86.51 79.82 -  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 201.26 215.73 242.84 -  Property/Plant/Equipment, Total - Gross 729.01 740.18 745.93 -  Accumulated Depreciation, Total -527.75 -524.45 -503.09 -  Goodwill, Net - - - -  Intangibles, Net 14.21 12.61 5.06 -  Long Term Investments - - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 216.14 86.51 79.82 -  Other Assets, Total - - - -"
"Property/Plant/Equipment, Total - Net",201.26,215.73,242.84,-
"Property/Plant/Equipment, Total - Gross",729.01,740.18,745.93,-
"Accumulated Depreciation, Total",-527.75,-524.45,-503.09,-
"Goodwill, Net",-,-,-,-
"Intangibles, Net",14.21,12.61,5.06,-
Long Term Investments,-,-,-,-
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",216.14,86.51,79.82,-
"Other Assets, Total",-,-,-,-
Total Current Liabilities,418.44,461.53,115.99,-
"Accounts Payable - - - -  Payable/Accrued - - - -  Accrued Expenses 2.61 6.3 2.68 -  Notes Payable/Short Term Debt 216 399.3 - -  Current Port. of LT Debt/Capital Leases 56.86 25.72 36.8 -  Other Current liabilities, Total 142.98 30.21 76.52 -","Accounts Payable - - - -  Payable/Accrued - - - -  Accrued Expenses 2.61 6.3 2.68 -  Notes Payable/Short Term Debt 216 399.3 - -  Current Port. of LT Debt/Capital Leases 56.86 25.72 36.8 -  Other Current liabilities, Total 142.98 30.21 76.52 -","Accounts Payable - - - -  Payable/Accrued - - - -  Accrued Expenses 2.61 6.3 2.68 -  Notes Payable/Short Term Debt 216 399.3 - -  Current Port. of LT Debt/Capital Leases 56.86 25.72 36.8 -  Other Current liabilities, Total 142.98 30.21 76.52 -","Accounts Payable - - - -  Payable/Accrued - - - -  Accrued Expenses 2.61 6.3 2.68 -  Notes Payable/Short Term Debt 216 399.3 - -  Current Port. of LT Debt/Capital Leases 56.86 25.72 36.8 -  Other Current liabilities, Total 142.98 30.21 76.52 -","Accounts Payable - - - -  Payable/Accrued - - - -  Accrued Expenses 2.61 6.3 2.68 -  Notes Payable/Short Term Debt 216 399.3 - -  Current Port. of LT Debt/Capital Leases 56.86 25.72 36.8 -  Other Current liabilities, Total 142.98 30.21 76.52 -"
Accounts Payable,-,-,-,-
Payable/Accrued,-,-,-,-
Accrued Expenses,2.61,6.3,2.68,-
Notes Payable/Short Term Debt,216,399.3,-,-
Current Port. of LT Debt/Capital Leases,56.86,25.72,36.8,-
"Other Current liabilities, Total",142.98,30.21,76.52,-
Total Liabilities,862.87,684.21,462.12,-
"Total Long Term Debt 349.33 117.89 245.61 -  Long Term Debt 349.33 117.89 245.61 -  Capital Lease Obligations - - - -  Deferred Income Tax 28.12 34.91 27.9 -  Minority Interest - - - -  Other Liabilities, Total 66.98 69.88 72.61 -","Total Long Term Debt 349.33 117.89 245.61 -  Long Term Debt 349.33 117.89 245.61 -  Capital Lease Obligations - - - -  Deferred Income Tax 28.12 34.91 27.9 -  Minority Interest - - - -  Other Liabilities, Total 66.98 69.88 72.61 -","Total Long Term Debt 349.33 117.89 245.61 -  Long Term Debt 349.33 117.89 245.61 -  Capital Lease Obligations - - - -  Deferred Income Tax 28.12 34.91 27.9 -  Minority Interest - - - -  Other Liabilities, Total 66.98 69.88 72.61 -","Total Long Term Debt 349.33 117.89 245.61 -  Long Term Debt 349.33 117.89 245.61 -  Capital Lease Obligations - - - -  Deferred Income Tax 28.12 34.91 27.9 -  Minority Interest - - - -  Other Liabilities, Total 66.98 69.88 72.61 -","Total Long Term Debt 349.33 117.89 245.61 -  Long Term Debt 349.33 117.89 245.61 -  Capital Lease Obligations - - - -  Deferred Income Tax 28.12 34.91 27.9 -  Minority Interest - - - -  Other Liabilities, Total 66.98 69.88 72.61 -"
Total Long Term Debt,349.33,117.89,245.61,-
Long Term Debt,349.33,117.89,245.61,-
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,28.12,34.91,27.9,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",66.98,69.88,72.61,-
Total Equity,649.61,525.6,593.9,-
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 170 170 170 -  Additional Paid-In Capital 117.44 117.44 117.44 -  Retained Earnings (Accumulated Deficit) 362.17 238.31 307.3 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - -0.15 -0.84 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 170 170 170 -  Additional Paid-In Capital 117.44 117.44 117.44 -  Retained Earnings (Accumulated Deficit) 362.17 238.31 307.3 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - -0.15 -0.84 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 170 170 170 -  Additional Paid-In Capital 117.44 117.44 117.44 -  Retained Earnings (Accumulated Deficit) 362.17 238.31 307.3 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - -0.15 -0.84 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 170 170 170 -  Additional Paid-In Capital 117.44 117.44 117.44 -  Retained Earnings (Accumulated Deficit) 362.17 238.31 307.3 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - -0.15 -0.84 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 170 170 170 -  Additional Paid-In Capital 117.44 117.44 117.44 -  Retained Earnings (Accumulated Deficit) 362.17 238.31 307.3 -  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - -0.15 -0.84 -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",170,170,170,-
Additional Paid-In Capital,117.44,117.44,117.44,-
Retained Earnings (Accumulated Deficit),362.17,238.31,307.3,-
Treasury Stock - Common,-,-,-,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-,-
"Other Equity, Total",-,-0.15,-0.84,-
Total Liabilities & Shareholders' Equity,1512.49,1209.81,1056.02,-
Total Common Shares Outstanding,1.77,1.77,1.77,-
Total Preferred Shares Outstanding,-,-,-,-
